result,isNotional,electorate,turnout,majority,electionTitle,electionDate,electionId,isGeneralElection,constituencyName,candidates,winningParty.id,winningParty.name,winningParty.abbreviation,winningParty.backgroundColour,winningParty.foregroundColour,winningParty.isLordsMainParty,winningParty.isLordsSpiritualParty,winningParty.governmentType,winningParty.isIndependentParty,constituency_id
Lab Hold,False,72580,35755,10354,2024 General Election,2024-07-04T00:00:00,422,True,Aberafan Maesteg,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4496
SNP Hold,False,75925,42095,1760,2024 General Election,2024-07-04T00:00:00,422,True,Aberdeen North,[],29,Scottish National Party,SNP,fff685,000000,False,False,,False,4449
SNP Hold,False,77328,46345,3758,2024 General Election,2024-07-04T00:00:00,422,True,Aberdeen South,[],29,Scottish National Party,SNP,fff685,000000,False,False,,False,4450
SNP Gain,False,70058,38188,942,2024 General Election,2024-07-04T00:00:00,422,True,Aberdeenshire North and Moray East,[],29,Scottish National Party,SNP,fff685,000000,False,False,,False,4451
Lab Gain,False,70199,36666,7547,2024 General Election,2024-07-04T00:00:00,422,True,Airdrie and Shotts,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4452
Lab Gain,False,78553,48544,5683,2024 General Election,2024-07-04T00:00:00,422,True,Aldershot,[],15,Labour,Lab,d50000,ffffff,True,True,,False,3878
Con Hold,False,70268,40912,4294,2024 General Election,2024-07-04T00:00:00,422,True,Aldridge-Brownhills,[],4,Conservative,Con,0063ba,ffffff,True,False,,False,3879
Lab Gain,False,70680,41201,6122,2024 General Election,2024-07-04T00:00:00,422,True,Alloa and Grangemouth,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4453
Lab Gain,False,74025,51452,4174,2024 General Election,2024-07-04T00:00:00,422,True,Altrincham and Sale West,[],15,Labour,Lab,d50000,ffffff,True,True,,False,3880
Lab Hold,False,75790,43392,8794,2024 General Election,2024-07-04T00:00:00,422,True,Alyn and Deeside,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4497
Lab Gain,False,71546,42531,3554,2024 General Election,2024-07-04T00:00:00,422,True,Amber Valley,[],15,Labour,Lab,d50000,ffffff,True,True,,False,3881
SNP Hold,False,76668,47348,4870,2024 General Election,2024-07-04T00:00:00,422,True,Angus and Perthshire Glens,[],29,Scottish National Party,SNP,fff685,000000,False,False,,False,4454
SNP Hold,False,76149,44117,859,2024 General Election,2024-07-04T00:00:00,422,True,Arbroath and Broughty Ferry,[],29,Scottish National Party,SNP,fff685,000000,False,False,,False,4455
SNP Hold,False,71756,44862,6232,2024 General Election,2024-07-04T00:00:00,422,True,"Argyll, Bute and South Lochaber",[],29,Scottish National Party,SNP,fff685,000000,False,False,,False,4456
Con Hold,False,77969,54740,12134,2024 General Election,2024-07-04T00:00:00,422,True,Arundel and South Downs,[],4,Conservative,Con,0063ba,ffffff,True,False,,False,3882
RUK Gain,False,68929,39882,5508,2024 General Election,2024-07-04T00:00:00,422,True,Ashfield,[],1036,Reform UK,RUK,12b6cf,ffffff,False,False,,False,3883
Lab Gain,False,76233,46975,1779,2024 General Election,2024-07-04T00:00:00,422,True,Ashford,[],15,Labour,Lab,d50000,ffffff,True,True,,False,3884
Lab Hold,False,71002,35461,6791,2024 General Election,2024-07-04T00:00:00,422,True,Ashton-under-Lyne,[],15,Labour,Lab,d50000,ffffff,True,True,,False,3885
Lab Gain,False,79169,49940,630,2024 General Election,2024-07-04T00:00:00,422,True,Aylesbury,[],15,Labour,Lab,d50000,ffffff,True,True,,False,3886
Lab Gain,False,70340,40936,4154,2024 General Election,2024-07-04T00:00:00,422,True,"Ayr, Carrick and Cumnock",[],15,Labour,Lab,d50000,ffffff,True,True,,False,4439
Lab Gain,False,73250,48178,3256,2024 General Election,2024-07-04T00:00:00,422,True,Banbury,[],15,Labour,Lab,d50000,ffffff,True,True,,False,3887
Lab Gain,False,70527,41660,4896,2024 General Election,2024-07-04T00:00:00,422,True,Bangor Aberconwy,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4498
Lab Hold,False,79822,36477,11054,2024 General Election,2024-07-04T00:00:00,422,True,Barking,[],15,Labour,Lab,d50000,ffffff,True,True,,False,3888
Lab Hold,False,78274,36894,7811,2024 General Election,2024-07-04T00:00:00,422,True,Barnsley North,[],15,Labour,Lab,d50000,ffffff,True,True,,False,3889
Lab Hold,False,75853,35082,4748,2024 General Election,2024-07-04T00:00:00,422,True,Barnsley South,[],15,Labour,Lab,d50000,ffffff,True,True,,False,3890
Lab Gain,False,74980,42221,5324,2024 General Election,2024-07-04T00:00:00,422,True,Barrow and Furness,[],15,Labour,Lab,d50000,ffffff,True,True,,False,3891
Con Hold,False,76873,42124,20,2024 General Election,2024-07-04T00:00:00,422,True,Basildon and Billericay,[],4,Conservative,Con,0063ba,ffffff,True,False,,False,3892
Lab Gain,False,78487,48989,6484,2024 General Election,2024-07-04T00:00:00,422,True,Basingstoke,[],15,Labour,Lab,d50000,ffffff,True,True,,False,3893
Lab Gain,False,78161,44878,5768,2024 General Election,2024-07-04T00:00:00,422,True,Bassetlaw,[],15,Labour,Lab,d50000,ffffff,True,True,,False,3894
LD Hold,False,69662,48130,11218,2024 General Election,2024-07-04T00:00:00,422,True,Bath,[],17,Liberal Democrat,LD,faa01a,FFFFFF,True,False,,False,3895
Lab Gain,False,72185,42065,8323,2024 General Election,2024-07-04T00:00:00,422,True,Bathgate and Linlithgow,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4457
Lab Hold,False,72827,47082,12039,2024 General Election,2024-07-04T00:00:00,422,True,Battersea,[],15,Labour,Lab,d50000,ffffff,True,True,,False,3896
Con Hold,False,72751,47726,5455,2024 General Election,2024-07-04T00:00:00,422,True,Beaconsfield,[],4,Conservative,Con,0063ba,ffffff,True,False,,False,3897
Lab Hold,False,77198,52222,12905,2024 General Election,2024-07-04T00:00:00,422,True,Beckenham and Penge,[],15,Labour,Lab,d50000,ffffff,True,True,,False,3898
Lab Hold,False,72478,40659,9430,2024 General Election,2024-07-04T00:00:00,422,True,Bedford,[],15,Labour,Lab,d50000,ffffff,True,True,,False,3899
DUP Hold,False,72917,42706,2676,2024 General Election,2024-07-04T00:00:00,422,True,Belfast East,[],7,Democratic Unionist Party,DUP,d46a4c,FFFFFF,False,True,,False,4421
SF Hold,False,74240,40452,5612,2024 General Election,2024-07-04T00:00:00,422,True,Belfast North,[],30,Sinn Féin,SF,02665f,FFFFFF,False,False,,False,4422
